TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,AgeGroup,AmountGroup,Target
14.089999999999975,2023-04-11 16:29:14,Debit,San Diego,ATM,1.965517369917347,Doctor,34.898496004484485,4315.956540556146,119.40085964056394,2024-11-04 08:08:08,1,1,3
376.24,2023-06-27 16:44:19,Debit,Houston,ATM,1.8988630345733968,Doctor,50.1705413913776,4315.956540556146,274.85280331750306,2024-11-04 08:09:35,1,0,3
126.29000000000002,2023-07-10 18:16:08,Debit,Mesa,Online,0.26583181864661687,Student,28.535143759945694,4315.956540556146,47.670431616130074,2024-11-04 08:07:04,3,2,0
184.5,2023-05-05 16:32:11,Debit,Raleigh,Online,0.49912199235044263,Student,20.644586976717587,4315.956540556146,181.5487370388346,2024-11-04 08:09:06,3,2,3
92.15,2023-04-03 17:15:01,Debit,Oklahoma City,ATM,0.2325046509746419,Student,58.0610981746057,4315.956540556146,41.545804457512006,2024-11-04 08:06:36,3,1,3
7.079999999999984,2023-02-15 16:36:48,Credit,Seattle,ATM,0.8657208367421687,Doctor,49.661473211814496,4315.956540556146,266.90285137121805,2024-11-04 08:10:09,0,1,1
171.42,2023-05-08 17:47:59,Credit,Indianapolis,Branch,1.8655358669014217,Retired,88.35065485861037,4315.956540556146,77.76393017643534,2024-11-04 08:10:55,1,2,3
106.23000000000002,2023-03-21 16:59:46,Credit,Detroit,Branch,1.33230118414982,Engineer,36.171166453392246,4315.956540556146,191.00669886583958,2024-11-04 08:11:14,2,1,1
815.96,2023-03-31 16:06:57,Debit,Nashville,ATM,1.4656098548377203,Doctor,44.82532550596501,4315.956540556146,45.86416370106167,2024-11-04 08:06:32,2,0,1
17.779999999999973,2023-03-14 16:46:10,Credit,Albuquerque,Online,1.365628351821795,Engineer,29.29874602929035,4315.956540556146,164.11817075660676,2024-11-04 08:06:45,2,1,1
190.02,2023-02-06 17:30:00,Debit,Memphis,Online,0.33248615399056713,Student,58.315632264387254,4315.956540556146,54.977843348574666,2024-11-04 08:07:12,3,2,1
494.52,2023-06-07 17:21:28,Credit,Mesa,Branch,0.4324676570064925,Student,42.53451869793104,4315.956540556146,56.617633301131555,2024-11-04 08:08:38,3,0,3
781.76,2023-11-20 16:39:15,Debit,Memphis,ATM,0.49912199235044263,Student,45.588927775309664,4315.956540556146,30.902900674876875,2024-11-04 08:07:06,3,0,2
166.99,2023-02-13 16:53:57,Debit,Louisville,Online,0.2325046509746419,Student,48.388802762906735,4315.956540556146,32.884815425122156,2024-11-04 08:10:09,3,2,1
465.45,2023-12-12 16:23:31,Debit,Denver,ATM,0.8323936690701936,Engineer,47.116132313998975,4315.956540556146,89.7967271860431,2024-11-04 08:12:19,0,0,2
555.8,2023-10-30 16:52:49,Credit,Austin,Branch,0.26583181864661687,Student,54.49762091766398,4315.956540556146,47.83061721504775,2024-11-04 08:07:35,3,0,2
492.93,2023-12-14 18:32:14,Debit,Columbus,Online,0.9323751720861189,Engineer,73.84221174106192,4315.956540556146,119.36058851356331,2024-11-04 08:11:51,0,0,2
18.680000000000007,2023-02-21 16:56:50,Credit,Albuquerque,Branch,1.5989185255256209,Retired,41.26184824902328,4315.956540556146,170.3898594415039,2024-11-04 08:12:01,2,1,1
71.48000000000005,2023-06-08 18:18:50,Credit,Columbus,Online,0.2325046509746419,Student,57.297495905261044,4315.956540556146,145.5839239000179,2024-11-04 08:09:20,3,1,3
59.31999999999999,2023-02-28 16:36:58,Debit,Los Angeles,Branch,1.998844537589322,Retired,23.95353014387776,4315.956540556146,130.88316472661845,2024-11-04 08:09:24,1,1,1
85.76999999999995,2023-08-11 18:31:31,Debit,Las Vegas,Branch,0.8990480044141438,Doctor,37.95290508186311,4315.956540556146,191.92448504145665,2024-11-04 08:08:13,0,1,0
52.19999999999999,2023-06-06 18:54:15,Debit,Atlanta,Online,0.9323751720861189,Engineer,44.82532550596501,4315.956540556146,188.84554164407814,2024-11-04 08:07:01,0,1,3
145.54,2023-03-02 16:43:56,Debit,Raleigh,Online,0.33248615399056713,Student,38.71650735120777,4315.956540556146,62.207769117906444,2024-11-04 08:07:09,3,2,1
7.490000000000009,2023-10-20 17:53:13,Credit,Houston,Online,1.7988815315574715,Retired,84.5326435118871,4315.956540556146,92.8373770564076,2024-11-04 08:09:44,1,1,2
40.31999999999999,2023-03-29 16:42:38,Debit,Milwaukee,Branch,0.8657208367421687,Engineer,38.461973261426216,4315.956540556146,75.79136408067237,2024-11-04 08:11:59,0,1,1
127.44999999999999,2023-01-24 16:18:32,Debit,Las Vegas,Online,1.0990110104459945,Doctor,64.4244504191445,4315.956540556146,59.351036046299285,2024-11-04 08:11:22,0,2,1
56.170000000000016,2023-09-20 16:55:42,Debit,Detroit,Branch,0.5324491600224177,Student,86.31438214035796,4315.956540556146,51.79354780645346,2024-11-04 08:08:30,3,1,0
28.310000000000002,2023-07-17 17:49:22,Credit,Miami,Online,1.5989185255256209,Doctor,19.371916527809827,4315.956540556146,177.33123539460348,2024-11-04 08:09:17,2,1,0
59.12000000000003,2023-02-06 16:24:24,Debit,Baltimore,ATM,0.5991034953663679,Doctor,79.6964958060376,4315.956540556146,204.10380423189252,2024-11-04 08:06:58,0,1,1
877.81,2023-03-13 17:23:24,Debit,Los Angeles,Online,0.3658133216625422,Student,52.46134819941156,4315.956540556146,34.66591388581516,2024-11-04 08:07:50,3,0,1
255.26,2023-10-27 16:42:49,Credit,San Francisco,Branch,1.1323381781179696,Doctor,27.007939221256382,4315.956540556146,293.85502224365723,2024-11-04 08:10:51,0,2,2
